table.gene	log*sign
AMMECR1	5,574281583
ACSL1	-5,565289672
MINK1	-5,564563973
UNC5B	5,557901735
CDH2	5,552241428
CENPW	5,548822116
FAM189B	5,546695631
TIMM17A	5,545188742
ISYNA1	5,544369406
MZT2A	5,539687699
DOCK2	-5,539009962
JAML	-5,538189342
SECTM1	-5,536127928
ARHGAP45	-5,523638223
ACLY	5,521121737
HDLBP	5,520331296
BCAT1	5,513166394
PSMB4	5,507834077
EIF3B	5,501151468
MTMR6	-5,499850844
AKR1B1	5,499794409
DDOST	5,489777884
KCNA3	-5,488336063
TMEM43	5,487211422
PAN3	-5,487152654
SLC46A3	-5,485692267
LRRK2	-5,484464668
NFAT5	-5,483848209
PHF23	5,483034321
TPD52L2	5,482969023
FGR	-5,479929876
TIMM50	5,478369687
ARFGEF2	-5,474203696
ATAD2B	-5,469139527
NR1D1	-5,468112515
MRPL24	5,467903714
LPAR5	-5,46778142
PML	5,466843724
SLC11A1	-5,462238653
RORC	-5,461969028
FGF13	-5,459598111
NAA38	5,45448586
HJURP	5,453734312
IGF1	-5,451127352
CLMN	-5,449845632
MELK	5,449071648
CLPP	5,447781188
SSR3	5,439726437
MIF	5,437478223
APOBR	-5,437345281
TLR7	-5,436078033
ABO	-5,434055007
CD3E	-5,430995378
CD8A	-5,429249326
ENY2	5,426365846
TMEM63A	-5,42476087
MACROD2	-5,424698556
RPS27A	5,419176252
PARD6A	-5,416336263
EDNRB	-5,412566668
DENND10	5,408654777
SLC38A2	5,408221843
GCA	-5,406497842
TMEM50B	-5,404749972
KBTBD11	-5,40037724
CADM1	-5,397656545
TAGAP	-5,395328167
GRAMD2B	-5,395134231
LOXL4	5,393262364
PRKAA2	-5,391451105
GPSM1	5,391132242
MCFD2	5,390609792
HCLS1	-5,389329314
SPNS2	-5,387086302
RUBCNL	-5,386257775
RGP1	-5,385782537
BCL9L	5,385464147
SWI5	5,38507487
PHGDH	5,383993811
TRAPPC2L	5,382705237
CLMP	5,381882388
SORT1	-5,379291448
RIC3	-5,378243574
CCT7	5,377813487
COPZ1	5,376800096
ALDH1A1	-5,374156037
NCF4	-5,369680486
TP53RK	5,367071418
CD2	-5,361717615
