table.gene	log*sign
LNPEP	-5,044596376
KCNG1	5,04409583
KLHL4	5,040233404
IL1B	5,036139669
CELF2	5,036006761
PDPN	5,03506886
SLC9A3R1	5,034363501
ELP4	5,032127896
AMT	5,030061501
SAE1	5,029407405
LGALS12	5,023969756
EFTUD2	5,023353911
NAT10	5,022653398
TNPO1	-5,02224921
MRPL2	5,020820529
LAS1L	5,017506279
REXO2	-5,014148666
BBX	-5,013507038
FER	-5,008466582
TSHZ2	5,003996382
ABCG1	4,999885633
PCYT1B	4,994653422
MNT	-4,993835142
UQCC3	4,990998007
SLC35F5	-4,988499043
CD274	-4,98845184
INPP4B	-4,986998765
GGT1	4,983983625
CRYAA	4,983450184
ERCC2	4,983206755
UCP2	4,982441129
PPP1R12A	-4,97135691
TSPAN7	4,96671593
WFDC1	-4,965915143
HLA-DQB1	4,963936898
ITGB1	-4,958505408
NFRKB	4,95829085
SSRP1	4,954824631
PDE1A	4,949369261
UBAC2	-4,946826003
PRMT6	4,946650429
HYAL1	4,946227308
SQSTM1	-4,944842617
PTGDR2	4,94108782
RNF169	-4,938793453
PKNOX2	4,929801499
GARS1	-4,924545561
EPAS1	-4,923892966
GRASP	4,913215262
ARHGAP18	-4,908230521
SFSWAP	4,904761906
CAMK2G	-4,904407553
CYP4F3	4,903817132
FNDC4	4,900163834
MYO7A	4,899376676
WDR4	4,896431018
TXNRD2	4,893821154
EOGT	-4,892572998
IMP4	4,891134846
KLF8	-4,890501665
PLIN2	4,887971475
SLC38A1	-4,887605981
COA3	4,88419731
MTPN	-4,880003653
TMEM94	4,877625946
MTUS1	4,876862505
BSDC1	4,876096709
PPP2R5D	4,874618161
ODF2	4,86949515
GUSB	4,868324075
ABCF2	4,866116802
ATF5	4,865593632
MRPL9	4,864357535
DGKQ	-4,864305367
FGF2	-4,86373228
SLC2A12	-4,863493358
CDKL1	-4,860514389
OGDH	4,852663376
MMP3	-4,847714625
LOXL3	-4,846991815
RBM38	4,840026137
DCAF8	4,837184191
PSME3	4,836914777
GALM	4,834830205
THBS2	-4,829697823
VTN	4,821975777
PPIB	4,818357211
AP1S3	-4,813975902
APEX2	4,808721464
MR1	-4,805371316
PGAP4	4,799079016
KLF15	4,798641044
SPATA18	-4,795504379
RNF5	4,794576942
HOXB8	4,792590982
PCSK9	4,789205734
NOS3	4,785542579
ANXA10	4,784002464
SNORC	4,783914191
PAWR	-4,78246931
DMRTA1	4,780301399
GTF3C2	4,77997046
FEN1	4,775713498
NNAT	4,774738893
WNT7B	4,774506352
TM4SF5	4,773506036
EPHA4	-4,772128983
ABAT	4,771081105
GREM2	-4,770297517
RAB3GAP1	-4,769962577
TMTC4	4,764052554
ALX1	-4,760548539
SPX	4,76018067
VANGL2	4,757752669
TBCD	4,750568027
MYRIP	4,750010437
MAF	4,749966353
SLC13A5	4,744377478
SGMS2	-4,740353256
PQBP1	4,737502647
PFAS	4,736404433
RASSF3	-4,73474774
ICA1	4,732538395
CITED1	4,731909025
CYP11A1	4,729648409
VPS13B	-4,729459605
DSE	-4,725429241
ITIH5	-4,725216627
ST8SIA6	4,722089442
CLDN10	4,72096477
CD200	4,71410562
ATP1A1	4,712189596
CCDC86	4,709168841
ST6GALNAC5	-4,704457224
NETO2	4,704177873
HEATR5A	-4,703177865
NEO1	4,698140118
MBNL3	4,697122688
ASRGL1	4,693336192
RASGEF1B	4,689968165
VWA1	4,688576282
HARS1	4,688465848
RHOV	-4,687769383
