table.gene	table.logFC	table.logCPM	table.F	table.PValue	table.FDR	adjust.method	comparison	test
117	GCFC2	-0.217036845514872	4.28920784683433	0.130872469036058	0.720027729514408	0.902270140720347	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
118	DBR1	0.391577206926896	4.08024492251142	0.280655365178971	0.60011409033169	0.841034740933865	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
119	HNRNPAB	0.699525550500528	8.64113652853853	2.26719669198969	0.142443621617017	0.453601527258606	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
120	INTS5	0.833158054059263	5.24772099948728	1.59840766683855	0.215721941209771	0.541016931922918	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
121	PELI2	1.80139986293003	4.43561192720236	6.40141689108683	0.0168017214018474	0.157810305088687	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
122	CYP4F8	2.81112578457821	6.94574333634462	1.90690028723595	0.183809330104771	0.509269919128456	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
123	CDKN2AIPNL	1.55191077931293	6.2413629976518	5.38290816171163	0.0272164114970471	0.2004922663837	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
124	PABPN1	0.753895693710901	6.52762141947944	2.08778329631899	0.158695135670947	0.47508341171679	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
125	GLOD4	0.105264712303272	6.06019690362358	0.057082587515432	0.812768782248837	0.950083625667182	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
126	LRRC8A	-1.35198920141883	5.71783047435114	3.76552254383872	0.0616285671250647	0.304923711585494	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
127	SYT12	1.69539662618247	2.85241434808061	1.898548371414	0.178284207818435	0.502033704340292	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
128	EMID1	3.27907947606213	2.44695389346623	6.31746183434825	0.018637863329549	0.163848411313276	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
129	TMA16	-0.604825025414748	4.93271014871403	0.613024332079272	0.439699066888276	0.735744819017753	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
130	ZCCHC17	0.761051834504512	5.69109058566594	1.65059412761824	0.208566610856068	0.535520141180757	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
131	CBL	-0.150068811018595	4.85141416123852	0.0678450024124316	0.796254210173597	0.944466892240052	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
132	MBNL3	-3.33842997915985	3.97477166227225	14.6381842600399	0.000628505144674333	0.0250836620715355	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
133	TUFM	1.17129230150364	8.21276302295309	4.61128679589208	0.0398399744759244	0.243862604350041	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
134	ZNF205	1.06444518623165	3.79947075884702	1.76229118809284	0.19420702767095	0.519959112617627	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
135	TOMM22	0.263104824322291	7.20755841839158	0.293858905598723	0.591703795464034	0.836604350063966	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
136	RRAGB	1.24027939841801	3.31129090315991	1.43257064569625	0.240581766252976	0.568055066691218	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
137	CENPW	1.73613482769315	5.33335747122799	7.47108810373374	0.0103448256672754	0.12240626821213	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
138	KNDC1	3.17468180205526	2.33093735376326	3.94986310532883	0.059793325094617	0.301159917747298	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
139	SGPL1	0.344792002444716	5.16343321811443	0.383345279075495	0.540423723267167	0.805953869170352	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
